timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:10:11.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:12.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:13.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:14.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:15.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.6 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:16.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:17.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.6 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:18.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.59 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:19.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:20.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:21.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.59 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:22.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.6 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:23.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],172.0 MHz,405.0 MHz
